               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.027116,            0.035527,                   0,             0.98716,             0.98323,             0.99434,             0.78223,            0.024049,            0.016975,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027371,            0.034945,                   0,             0.98869,             0.98958,             0.99463,              0.7781,            0.024228,            0.017025,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026224,            0.035691,                   0,             0.99096,             0.98666,              0.9947,             0.77611,            0.023939,             0.01686,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026614,            0.035664,                   0,             0.99198,             0.98201,             0.99442,             0.78246,            0.023601,            0.016998,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026849,            0.034991,                   0,             0.99554,             0.98532,             0.99477,             0.78696,            0.023423,            0.016482,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026509,            0.034961,                   0,             0.98662,             0.98816,             0.99381,             0.76951,            0.024008,            0.016971,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026275,            0.035116,                   0,             0.98767,             0.99006,             0.99456,             0.79323,            0.022203,            0.016333,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.026133,            0.035845,                   0,             0.98693,             0.98864,             0.99434,             0.78973,             0.02241,            0.016363,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025602,            0.034907,                   0,             0.98789,             0.98864,             0.99441,             0.78959,            0.022814,            0.016686,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025647,             0.03555,                   0,             0.99332,             0.98639,             0.99413,             0.79065,            0.022838,            0.016578,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025564,            0.035872,                   0,             0.99168,             0.98864,             0.99456,             0.79611,            0.022349,            0.016202,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025117,            0.033677,                   0,             0.99323,             0.98769,             0.99472,             0.79032,            0.023672,            0.016316,                   0,            0.005149,            0.005149,            0.005149
